1,The Colour of Magic,1983,Rincewind
2,The Light Fantastic,1986,Rincewind
3,Equal Rites,1987,Witches
4,Mort,1987,Death
5,Sourcery,1988,Rincewind
6,Wyrd Sisters,1988,Witches
7,Pyramids,1989,
8,Guards! Guards!,1989,City Watch
9,Eric,1990,Rincewind
10,Moving Pictures,1990,Industrial Revolution
11,Reaper Man,1991,Death
12,Witches Abroad,1991,Witches
13,Small Gods,1992,
14,Lords and Ladies,1992,Witches
15,Men at Arms,1993,City Watch
16,Soul Music,1994,Death
17,Interesting Times,1994,Rincewind
18,Maskerade,1995,Witches
19,Feet of Clay,1996,City Watch
20,Hogfather,1996,Death
21,Jingo,1997,City Watch
22,The Last Continent,1998,Rincewind
23,Carpe Jugulum,1998,Witches
24,The Fifth Elephant,1999,City Watch
25,The Truth,2000,Industrial Revolution
26,Thief of Time,2001,Death
27,The Last Hero,2001,Rincewind
28,The Amazing Maurice and His Educated Rodents,2001,
29,Night Watch,2002,City Watch
30,The Wee Free Men,2003,Tiffany Aching
31,Monstrous Regiment,2003,Industrial Revolution
32,A Hat Full of Sky,2004,Tiffany Aching
33,Going Postal,2004,Moist von Lipwig
34,Thud!,2005,City Watch
35,Wintersmith,2006,Tiffany Aching
36,Making Money,2007,Moist von Lipwig
37,Unseen Academicals,2009,Rincewind
38,I Shall Wear Midnight,2010,Tiffany Aching
39,Snuff,2011,City Watch
40,Raising Steam,2013,Moist von Lipwig
41,The Shepherd's Crown,2015,Tiffany Aching
